date,index,type,raw_emp,first_year_average,,,,,,,,,,,,,,,
"July, 2011",72.7,Construction,5547,7627.333333,,,,,,,,,,,,,,,
"August, 2011",72.8,Construction,5552,7627.333333,,,,,,,,,,,,,,,
"September, 2011",73.2,Construction,5584,7627.333333,,,,,,,,,,,,,,,
"October, 2011",73.3,Construction,5588,7627.333333,,,,,,,,,,,,,,,
"November, 2011",73.3,Construction,5593,7627.333333,,,,,,,,,,,,,,,
"December, 2011",73.6,Construction,5611,7627.333333,,,,,,,,,,,,,,,
"January, 2012",73.8,Construction,5626,7627.333333,,,,,,,,,,,,,,,
"February, 2012",73.8,Construction,5626,7627.333333,,,,,,,,,,,,,,,
"March, 2012",73.8,Construction,5629,7627.333333,,,,,,,,,,,,,,,
"April, 2012",73.8,Construction,5626,7627.333333,,,,,,,,,,,,,,,
"May, 2012",73.5,Construction,5606,7627.333333,,,,,,,,,,,,,,,
"June, 2012",73.7,Construction,5622,7627.333333,,,,,,,,,,,,,,,
"July, 2012",73.9,Construction,5633,7627.333333,,,,,,,,,,,,,,,
"August, 2012",74.0,Construction,5647,7627.333333,,,,,,,,,,,,,,,
"September, 2012",74.2,Construction,5656,7627.333333,,,,,,,,,,,,,,,
"October, 2012",74.4,Construction,5673,7627.333333,,,,,,,,,,,,,,,
"November, 2012",74.5,Construction,5682,7627.333333,,,,,,,,,,,,,,,
"December, 2012",75.1,Construction,5728,7627.333333,,,,,,,,,,,,,,,
"January, 2013",75.3,Construction,5741,7627.333333,,,,,,,,,,,,,,,
"February, 2013",76.0,Construction,5793,7627.333333,,,,,,,,,,,,,,,
"March, 2013",76.2,Construction,5814,7627.333333,,,,,,,,,,,,,,,
"April, 2013",76.2,Construction,5811,7627.333333,,,,,,,,,,,,,,,
"May, 2013",76.4,Construction,5831,7627.333333,,,,,,,,,,,,,,,
"June, 2013",76.8,Construction,5854,7627.333333,,,,,,,,,,,,,,,
"July, 2013",76.8,Construction,5857,7627.333333,,,,,,,,,,,,,,,
"August, 2013",77.0,Construction,5874,7627.333333,,,,,,,,,,,,,,,
"September, 2013",77.4,Construction,5900,7627.333333,,,,,,,,,,,,,,,
"October, 2013",77.7,Construction,5923,7627.333333,,,,,,,,,,,,,,,
"November, 2013",78.1,Construction,5954,7627.333333,,,,,,,,,,,,,,,
"December, 2013",77.9,Construction,5939,7627.333333,,,,,,,,,,,,,,,
"January, 2014",78.7,Construction,5999,7627.333333,,,,,,,,,,,,,,,
"February, 2014",78.9,Construction,6020,7627.333333,,,,,,,,,,,,,,,
"March, 2014",79.5,Construction,6062,7627.333333,,,,,,,,,,,,,,,
"April, 2014",80.0,Construction,6103,7627.333333,,,,,,,,,,,,,,,
"May, 2014",80.2,Construction,6115,7627.333333,,,,,,,,,,,,,,,
"June, 2014",80.3,Construction,6128,7627.333333,,,,,,,,,,,,,,,
"July, 2014",80.9,Construction,6169,7627.333333,,,,,,,,,,,,,,,
"August, 2014",81.2,Construction,6194,7627.333333,,,,,,,,,,,,,,,
"September, 2014",81.5,Construction,6219,7627.333333,,,,,,,,,,,,,,,
"October, 2014",81.7,Construction,6233,7627.333333,,,,,,,,,,,,,,,
"November, 2014",82.0,Construction,6256,7627.333333,,,,,,,,,,,,,,,
"December, 2014",82.6,Construction,6301,7627.333333,,,,,,,,,,,,,,,
"January, 2015",83.3,Construction,6351,7627.333333,,,,,,,,,,,,,,,
"February, 2015",83.6,Construction,6378,7627.333333,,,,,,,,,,,,,,,
"March, 2015",83.5,Construction,6371,7627.333333,,,,,,,,,,,,,,,
"April, 2015",84.0,Construction,6409,7627.333333,,,,,,,,,,,,,,,
"May, 2015",84.2,Construction,6426,7627.333333,,,,,,,,,,,,,,,
"June, 2015",84.2,Construction,6426,7627.333333,,,,,,,,,,,,,,,
"July, 2015",84.4,Construction,6437,7627.333333,,,,,,,,,,,,,,,
"August, 2015",84.4,Construction,6441,7627.333333,,,,,,,,,,,,,,,
"September, 2015",84.6,Construction,6451,7627.333333,,,,,,,,,,,,,,,
"October, 2015",85.0,Construction,6484,7627.333333,,,,,,,,,,,,,,,
"November, 2015",85.9,Construction,6549,7627.333333,,,,,,,,,,,,,,,
"December, 2015",86.5,Construction,6597,7627.333333,,,,,,,,,,,,,,,
"January, 2016",86.7,Construction,6615,7627.333333,,,,,,,,,,,,,,,
"February, 2016",86.9,Construction,6628,7627.333333,,,,,,,,,,,,,,,
"March, 2016",87.4,Construction,6669,7627.333333,,,,,,,,,,,,,,,
"April, 2016",87.4,Construction,6670,7627.333333,,,,,,,,,,,,,,,
"January, 2007",100.9,Manufacturing,14008,13877.8,,,,,,,,,,,,,,,
"February, 2007",100.9,Manufacturing,13997,13877.83333,,,,,,,,,,,,,,,
"March, 2007",100.7,Manufacturing,13970,13877.83333,,,,,,,,,,,,,,,
"April, 2007",100.5,Manufacturing,13945,13877.83333,,,,,,,,,,,,,,,
"May, 2007",100.4,Manufacturing,13929,13877.83333,,,,,,,,,,,,,,,
"June, 2007",100.2,Manufacturing,13911,13877.83333,,,,,,,,,,,,,,,
"July, 2007",100.1,Manufacturing,13889,13877.83333,,,,,,,,,,,,,,,
"August, 2007",99.6,Manufacturing,13828,13877.83333,,,,,,,,,,,,,,,
"September, 2007",99.4,Manufacturing,13790,13877.83333,,,,,,,,,,,,,,,
"October, 2007",99.2,Manufacturing,13764,13877.83333,,,,,,,,,,,,,,,
"November, 2007",99.1,Manufacturing,13757,13877.83333,,,,,,,,,,,,,,,
"December, 2007",99.1,Manufacturing,13746,13877.83333,,,,,,,,,,,,,,,
"January, 2008",98.9,Manufacturing,13725,13877.83333,,,,,,,,,,,,,,,
"February, 2008",98.7,Manufacturing,13696,13877.83333,,,,,,,,,,,,,,,
"March, 2008",98.4,Manufacturing,13659,13877.83333,,,,,,,,,,,,,,,
"April, 2008",98.0,Manufacturing,13599,13877.83333,,,,,,,,,,,,,,,
"May, 2008",97.7,Manufacturing,13564,13877.83333,,,,,,,,,,,,,,,
"June, 2008",97.3,Manufacturing,13504,13877.83333,,,,,,,,,,,,,,,
"July, 2008",96.8,Manufacturing,13430,13877.83333,,,,,,,,,,,,,,,
"August, 2008",96.3,Manufacturing,13358,13877.83333,,,,,,,,,,,,,,,
"September, 2008",95.7,Manufacturing,13275,13877.83333,,,,,,,,,,,,,,,
"October, 2008",94.7,Manufacturing,13147,13877.83333,,,,,,,,,,,,,,,
"November, 2008",93.9,Manufacturing,13034,13877.83333,,,,,,,,,,,,,,,
"December, 2008",92.6,Manufacturing,12850,13877.83333,,,,,,,,,,,,,,,
"January, 2009",90.5,Manufacturing,12561,13877.83333,,,,,,,,,,,,,,,
"February, 2009",89.2,Manufacturing,12380,13877.83333,,,,,,,,,,,,,,,
"March, 2009",88.0,Manufacturing,12208,13877.83333,,,,,,,,,,,,,,,
"April, 2009",86.7,Manufacturing,12030,13877.83333,,,,,,,,,,,,,,,
"May, 2009",85.5,Manufacturing,11862,13877.83333,,,,,,,,,,,,,,,
"June, 2009",84.5,Manufacturing,11726,13877.83333,,,,,,,,,,,,,,,
"July, 2009",84.1,Manufacturing,11668,13877.83333,,,,,,,,,,,,,,,
"August, 2009",83.8,Manufacturing,11626,13877.83333,,,,,,,,,,,,,,,
"September, 2009",83.5,Manufacturing,11591,13877.83333,,,,,,,,,,,,,,,
"October, 2009",83.1,Manufacturing,11538,13877.83333,,,,,,,,,,,,,,,
"November, 2009",82.9,Manufacturing,11509,13877.83333,,,,,,,,,,,,,,,
"December, 2009",82.7,Manufacturing,11475,13877.83333,,,,,,,,,,,,,,,
"January, 2010",82.6,Manufacturing,11460,13877.83333,,,,,,,,,,,,,,,
"February, 2010",82.5,Manufacturing,11453,13877.83333,,,,,,,,,,,,,,,
"March, 2010",82.5,Manufacturing,11453,13877.83333,,,,,,,,,,,,,,,
"April, 2010",82.8,Manufacturing,11489,13877.83333,,,,,,,,,,,,,,,
"May, 2010",83.0,Manufacturing,11525,13877.83333,,,,,,,,,,,,,,,
"June, 2010",83.2,Manufacturing,11545,13877.83333,,,,,,,,,,,,,,,
"July, 2010",83.3,Manufacturing,11561,13877.83333,,,,,,,,,,,,,,,
"August, 2010",83.2,Manufacturing,11553,13877.83333,,,,,,,,,,,,,,,
"September, 2010",83.3,Manufacturing,11563,13877.83333,,,,,,,,,,,,,,,
"October, 2010",83.3,Manufacturing,11562,13877.83333,,,,,,,,,,,,,,,
"November, 2010",83.5,Manufacturing,11585,13877.83333,,,,,,,,,,,,,,,
"December, 2010",83.6,Manufacturing,11595,13877.83333,,,,,,,,,,,,,,,
"January, 2011",83.7,Manufacturing,11621,13877.83333,,,,,,,,,,,,,,,
"February, 2011",84.0,Manufacturing,11654,13877.83333,,,,,,,,,,,,,,,
"March, 2011",84.1,Manufacturing,11675,13877.83333,,,,,,,,,,,,,,,
"April, 2011",84.3,Manufacturing,11704,13877.83333,,,,,,,,,,,,,,,
"May, 2011",84.4,Manufacturing,11713,13877.83333,,,,,,,,,,,,,,,
"June, 2011",84.5,Manufacturing,11727,13877.83333,,,,,,,,,,,,,,,
"July, 2011",84.6,Manufacturing,11746,13877.83333,,,,,,,,,,,,,,,
"August, 2011",84.8,Manufacturing,11764,13877.83333,,,,,,,,,,,,,,,
"September, 2011",84.8,Manufacturing,11769,13877.83333,,,,,,,,,,,,,,,
"October, 2011",84.9,Manufacturing,11780,13877.83333,,,,,,,,,,,,,,,
"November, 2011",84.8,Manufacturing,11770,13877.83333,,,,,,,,,,,,,,,
"December, 2011",85.0,Manufacturing,11802,13877.83333,,,,,,,,,,,,,,,
"January, 2012",85.3,Manufacturing,11836,13877.83333,,,,,,,,,,,,,,,
"February, 2012",85.5,Manufacturing,11859,13877.83333,,,,,,,,,,,,,,,
"March, 2012",85.7,Manufacturing,11899,13877.83333,,,,,,,,,,,,,,,
"April, 2012",85.9,Manufacturing,11915,13877.83333,,,,,,,,,,,,,,,
"May, 2012",86.0,Manufacturing,11929,13877.83333,,,,,,,,,,,,,,,
"June, 2012",86.1,Manufacturing,11942,13877.83333,,,,,,,,,,,,,,,
"July, 2012",86.2,Manufacturing,11967,13877.83333,,,,,,,,,,,,,,,
"August, 2012",86.2,Manufacturing,11961,13877.83333,,,,,,,,,,,,,,,
"September, 2012",86.1,Manufacturing,11952,13877.83333,,,,,,,,,,,,,,,
"October, 2012",86.2,Manufacturing,11959,13877.83333,,,,,,,,,,,,,,,
"November, 2012",86.1,Manufacturing,11948,13877.83333,,,,,,,,,,,,,,,
"December, 2012",86.2,Manufacturing,11960,13877.83333,,,,,,,,,,,,,,,
"January, 2013",86.3,Manufacturing,11980,13877.83333,,,,,,,,,,,,,,,
"February, 2013",86.5,Manufacturing,12001,13877.83333,,,,,,,,,,,,,,,
"March, 2013",86.5,Manufacturing,12003,13877.83333,,,,,,,,,,,,,,,
"April, 2013",86.5,Manufacturing,12004,13877.83333,,,,,,,,,,,,,,,
"May, 2013",86.5,Manufacturing,12002,13877.83333,,,,,,,,,,,,,,,
"June, 2013",86.5,Manufacturing,12002,13877.83333,,,,,,,,,,,,,,,
"July, 2013",86.3,Manufacturing,11983,13877.83333,,,,,,,,,,,,,,,
"August, 2013",86.6,Manufacturing,12014,13877.83333,,,,,,,,,,,,,,,
"September, 2013",86.7,Manufacturing,12029,13877.83333,,,,,,,,,,,,,,,
"October, 2013",86.8,Manufacturing,12050,13877.83333,,,,,,,,,,,,,,,
"November, 2013",87.0,Manufacturing,12076,13877.83333,,,,,,,,,,,,,,,
"December, 2013",87.1,Manufacturing,12086,13877.83333,,,,,,,,,,,,,,,
"January, 2014",87.1,Manufacturing,12094,13877.83333,,,,,,,,,,,,,,,
"February, 2014",87.3,Manufacturing,12115,13877.83333,,,,,,,,,,,,,,,
"March, 2014",87.4,Manufacturing,12125,13877.83333,,,,,,,,,,,,,,,
"April, 2014",87.5,Manufacturing,12139,13877.83333,,,,,,,,,,,,,,,
"May, 2014",87.5,Manufacturing,12146,13877.83333,,,,,,,,,,,,,,,
"June, 2014",87.7,Manufacturing,12171,13877.83333,,,,,,,,,,,,,,,
"July, 2014",87.8,Manufacturing,12189,13877.83333,,,,,,,,,,,,,,,
"August, 2014",87.9,Manufacturing,12205,13877.83333,,,,,,,,,,,,,,,
"September, 2014",88.0,Manufacturing,12217,13877.83333,,,,,,,,,,,,,,,
"October, 2014",88.2,Manufacturing,12243,13877.83333,,,,,,,,,,,,,,,
"November, 2014",88.4,Manufacturing,12272,13877.83333,,,,,,,,,,,,,,,
"December, 2014",88.6,Manufacturing,12294,13877.83333,,,,,,,,,,,,,,,
"January, 2015",88.7,Manufacturing,12311,13877.83333,,,,,,,,,,,,,,,
"February, 2015",88.7,Manufacturing,12315,13877.83333,,,,,,,,,,,,,,,
"March, 2015",88.8,Manufacturing,12318,13877.83333,,,,,,,,,,,,,,,
"April, 2015",88.7,Manufacturing,12316,13877.83333,,,,,,,,,,,,,,,
"May, 2015",88.8,Manufacturing,12324,13877.83333,,,,,,,,,,,,,,,
"June, 2015",88.8,Manufacturing,12325,13877.83333,,,,,,,,,,,,,,,
"July, 2015",88.9,Manufacturing,12336,13877.83333,,,,,,,,,,,,,,,
"August, 2015",88.8,Manufacturing,12318,13877.83333,,,,,,,,,,,,,,,
"September, 2015",88.7,Manufacturing,12309,13877.83333,,,,,,,,,,,,,,,
"October, 2015",88.7,Manufacturing,12311,13877.83333,,,,,,,,,,,,,,,
"November, 2015",88.7,Manufacturing,12314,13877.83333,,,,,,,,,,,,,,,
"December, 2015",88.8,Manufacturing,12320,13877.83333,,,,,,,,,,,,,,,
"January, 2016",88.9,Manufacturing,12338,13877.83333,,,,,,,,,,,,,,,
"February, 2016",88.8,Manufacturing,12322,13877.83333,,,,,,,,,,,,,,,
"March, 2016",88.6,Manufacturing,12293,13877.83333,,,,,,,,,,,,,,,
"April, 2016",88.6,Manufacturing,12297,13877.83333,,,,,,,,,,,,,,,
"January, 2007",99.6,Retail,15450.6,15516.325,,,,,,,,,,,,,,,
"February, 2007",99.8,Retail,15478.5,15516.325,,,,,,,,,,,,,,,
"March, 2007",100.1,Retail,15524.4,15516.325,,,,,,,,,,,,,,,
"April, 2007",100.0,Retail,15514.7,15516.325,,,,,,,,,,,,,,,
"May, 2007",100.1,Retail,15528.5,15516.325,,,,,,,,,,,,,,,
"June, 2007",100.0,Retail,15509.7,15516.325,,,,,,,,,,,,,,,
"July, 2007",99.9,Retail,15506.4,15516.325,,,,,,,,,,,,,,,
"August, 2007",99.9,Retail,15506.9,15516.325,,,,,,,,,,,,,,,
"September, 2007",100.0,Retail,15512.9,15516.325,,,,,,,,,,,,,,,
"October, 2007",100.0,Retail,15516.2,15516.325,,,,,,,,,,,,,,,
"November, 2007",100.4,Retail,15576.3,15516.325,,,,,,,,,,,,,,,
"December, 2007",100.4,Retail,15570.8,15516.325,,,,,,,,,,,,,,,
"January, 2008",100.3,Retail,15570.3,15516.325,,,,,,,,,,,,,,,
"February, 2008",100.1,Retail,15527.9,15516.325,,,,,,,,,,,,,,,
"March, 2008",99.9,Retail,15506.2,15516.325,,,,,,,,,,,,,,,
"April, 2008",99.4,Retail,15428.9,15516.325,,,,,,,,,,,,,,,
"May, 2008",99.1,Retail,15379.3,15516.325,,,,,,,,,,,,,,,
"June, 2008",98.8,Retail,15334.5,15516.325,,,,,,,,,,,,,,,
"July, 2008",98.6,Retail,15298.8,15516.325,,,,,,,,,,,,,,,
"August, 2008",98.3,Retail,15245,15516.325,,,,,,,,,,,,,,,
"September, 2008",97.8,Retail,15172,15516.325,,,,,,,,,,,,,,,
"October, 2008",97.3,Retail,15102.9,15516.325,,,,,,,,,,,,,,,
"November, 2008",96.5,Retail,14980.7,15516.325,,,,,,,,,,,,,,,
"December, 2008",95.8,Retail,14869.9,15516.325,,,,,,,,,,,,,,,
"January, 2009",95.3,Retail,14783,15516.325,,,,,,,,,,,,,,,
"February, 2009",94.8,Retail,14714.5,15516.325,,,,,,,,,,,,,,,
"March, 2009",94.2,Retail,14617.7,15516.325,,,,,,,,,,,,,,,
"April, 2009",93.8,Retail,14549,15516.325,,,,,,,,,,,,,,,
"May, 2009",93.8,Retail,14553.9,15516.325,,,,,,,,,,,,,,,
"June, 2009",93.7,Retail,14536.8,15516.325,,,,,,,,,,,,,,,
"July, 2009",93.4,Retail,14495.2,15516.325,,,,,,,,,,,,,,,
"August, 2009",93.3,Retail,14479.1,15516.325,,,,,,,,,,,,,,,
"September, 2009",93.1,Retail,14447.2,15516.325,,,,,,,,,,,,,,,
"October, 2009",92.7,Retail,14386.7,15516.325,,,,,,,,,,,,,,,
"November, 2009",92.6,Retail,14372.7,15516.325,,,,,,,,,,,,,,,
"December, 2009",92.3,Retail,14324.5,15516.325,,,,,,,,,,,,,,,
"January, 2010",92.7,Retail,14388.2,15516.325,,,,,,,,,,,,,,,
"February, 2010",92.8,Retail,14399,15516.325,,,,,,,,,,,,,,,
"March, 2010",92.9,Retail,14422.1,15516.325,,,,,,,,,,,,,,,
"April, 2010",93.0,Retail,14422.8,15516.325,,,,,,,,,,,,,,,
"May, 2010",93.0,Retail,14435.4,15516.325,,,,,,,,,,,,,,,
"June, 2010",93.1,Retail,14438.5,15516.325,,,,,,,,,,,,,,,
"July, 2010",93.2,Retail,14456.4,15516.325,,,,,,,,,,,,,,,
"August, 2010",93.1,Retail,14452.1,15516.325,,,,,,,,,,,,,,,
"September, 2010",93.3,Retail,14474.4,15516.325,,,,,,,,,,,,,,,
"October, 2010",93.5,Retail,14500.5,15516.325,,,,,,,,,,,,,,,
"November, 2010",93.3,Retail,14475.3,15516.325,,,,,,,,,,,,,,,
"December, 2010",93.3,Retail,14473.7,15516.325,,,,,,,,,,,,,,,
"January, 2011",93.7,Retail,14535.7,15516.325,,,,,,,,,,,,,,,
"February, 2011",93.8,Retail,14561.9,15516.325,,,,,,,,,,,,,,,
"March, 2011",93.9,Retail,14565.5,15516.325,,,,,,,,,,,,,,,
"April, 2011",94.4,Retail,14645.6,15516.325,,,,,,,,,,,,,,,
"May, 2011",94.4,Retail,14640.9,15516.325,,,,,,,,,,,,,,,
"June, 2011",94.6,Retail,14676.1,15516.325,,,,,,,,,,,,,,,
"July, 2011",94.8,Retail,14714,15516.325,,,,,,,,,,,,,,,
"August, 2011",94.8,Retail,14714.3,15516.325,,,,,,,,,,,,,,,
"September, 2011",95.0,Retail,14739.2,15516.325,,,,,,,,,,,,,,,
"October, 2011",95.0,Retail,14741.7,15516.325,,,,,,,,,,,,,,,
"November, 2011",95.1,Retail,14752.3,15516.325,,,,,,,,,,,,,,,
"December, 2011",95.1,Retail,14758,15516.325,,,,,,,,,,,,,,,
"January, 2012",95.5,Retail,14816.1,15516.325,,,,,,,,,,,,,,,
"February, 2012",95.4,Retail,14799.8,15516.325,,,,,,,,,,,,,,,
"March, 2012",95.4,Retail,14807.1,15516.325,,,,,,,,,,,,,,,
"April, 2012",95.6,Retail,14828.4,15516.325,,,,,,,,,,,,,,,
"May, 2012",95.6,Retail,14826.6,15516.325,,,,,,,,,,,,,,,
"June, 2012",95.5,Retail,14810.6,15516.325,,,,,,,,,,,,,,,
"July, 2012",95.4,Retail,14800.2,15516.325,,,,,,,,,,,,,,,
"August, 2012",95.5,Retail,14811.1,15516.325,,,,,,,,,,,,,,,
"September, 2012",95.6,Retail,14838,15516.325,,,,,,,,,,,,,,,
"October, 2012",95.8,Retail,14860.8,15516.325,,,,,,,,,,,,,,,
"November, 2012",96.3,Retail,14936.3,15516.325,,,,,,,,,,,,,,,
"December, 2012",96.0,Retail,14899.5,15516.325,,,,,,,,,,,,,,,
"January, 2013",96.3,Retail,14941.2,15516.325,,,,,,,,,,,,,,,
"February, 2013",96.4,Retail,14952,15516.325,,,,,,,,,,,,,,,
"March, 2013",96.3,Retail,14946.8,15516.325,,,,,,,,,,,,,,,
"April, 2013",96.5,Retail,14967.2,15516.325,,,,,,,,,,,,,,,
"May, 2013",96.7,Retail,15000.3,15516.325,,,,,,,,,,,,,,,
"June, 2013",96.9,Retail,15039.9,15516.325,,,,,,,,,,,,,,,
"July, 2013",97.2,Retail,15084.8,15516.325,,,,,,,,,,,,,,,
"August, 2013",97.5,Retail,15129.3,15516.325,,,,,,,,,,,,,,,
"September, 2013",97.7,Retail,15156.5,15516.325,,,,,,,,,,,,,,,
"October, 2013",97.9,Retail,15187.8,15516.325,,,,,,,,,,,,,,,
"November, 2013",98.1,Retail,15218.9,15516.325,,,,,,,,,,,,,,,
"December, 2013",98.4,Retail,15267.3,15516.325,,,,,,,,,,,,,,,
"January, 2014",98.3,Retail,15258.6,15516.325,,,,,,,,,,,,,,,
"February, 2014",98.2,Retail,15240.9,15516.325,,,,,,,,,,,,,,,
"March, 2014",98.4,Retail,15261.7,15516.325,,,,,,,,,,,,,,,
"April, 2014",98.6,Retail,15301,15516.325,,,,,,,,,,,,,,,
"May, 2014",98.7,Retail,15310.1,15516.325,,,,,,,,,,,,,,,
"June, 2014",98.9,Retail,15346.5,15516.325,,,,,,,,,,,,,,,
"July, 2014",99.1,Retail,15369.2,15516.325,,,,,,,,,,,,,,,
"August, 2014",99.1,Retail,15376.9,15516.325,,,,,,,,,,,,,,,
"September, 2014",99.3,Retail,15406.4,15516.325,,,,,,,,,,,,,,,
"October, 2014",99.4,Retail,15419.8,15516.325,,,,,,,,,,,,,,,
"November, 2014",99.8,Retail,15478.3,15516.325,,,,,,,,,,,,,,,
"December, 2014",99.7,Retail,15476.8,15516.325,,,,,,,,,,,,,,,
"January, 2015",100.0,Retail,15510,15516.325,,,,,,,,,,,,,,,
"February, 2015",100.1,Retail,15539.2,15516.325,,,,,,,,,,,,,,,
"March, 2015",100.3,Retail,15564.4,15516.325,,,,,,,,,,,,,,,
"April, 2015",100.4,Retail,15577.8,15516.325,,,,,,,,,,,,,,,
"May, 2015",100.6,Retail,15604.7,15516.325,,,,,,,,,,,,,,,
"June, 2015",100.8,Retail,15639.6,15516.325,,,,,,,,,,,,,,,
"July, 2015",101.0,Retail,15670.7,15516.325,,,,,,,,,,,,,,,
"August, 2015",101.0,Retail,15674.6,15516.325,,,,,,,,,,,,,,,
"September, 2015",101.1,Retail,15681,15516.325,,,,,,,,,,,,,,,
"October, 2015",101.2,Retail,15702.4,15516.325,,,,,,,,,,,,,,,
"November, 2015",101.5,Retail,15754.2,15516.325,,,,,,,,,,,,,,,
"December, 2015",101.6,Retail,15760.8,15516.325,,,,,,,,,,,,,,,
"January, 2016",102.0,Retail,15827.3,15516.325,,,,,,,,,,,,,,,
"February, 2016",102.3,Retail,15879.3,15516.325,,,,,,,,,,,,,,,
"March, 2016",102.6,Retail,15918.3,15516.325,,,,,,,,,,,,,,,
"April, 2016",102.6,Retail,15915.2,15516.325,,,,,,,,,,,,,,,
"January, 2007",99.1,Educational services,2916.2,2941.65,,,,,,,,,,,,,,,
"February, 2007",99.0,Educational services,2912.2,2941.65,,,,,,,,,,,,,,,
"March, 2007",99.5,Educational services,2925.6,2941.65,,,,,,,,,,,,,,,
"April, 2007",99.5,Educational services,2927.9,2941.65,,,,,,,,,,,,,,,
"May, 2007",99.7,Educational services,2932.1,2941.65,,,,,,,,,,,,,,,
"June, 2007",99.7,Educational services,2934.1,2941.65,,,,,,,,,,,,,,,
"July, 2007",99.6,Educational services,2928.8,2941.65,,,,,,,,,,,,,,,
"August, 2007",100.2,Educational services,2946.3,2941.65,,,,,,,,,,,,,,,
"September, 2007",100.7,Educational services,2963.1,2941.65,,,,,,,,,,,,,,,
