date,employment,indexed,type
"April, 2015",119252,103.0005701,Private Sector
"May, 2015",119508,103.2216829,Private Sector
"June, 2015",119734,103.416884,Private Sector
"July, 2015",119979,103.6284959,Private Sector
"August, 2015",120102,103.7347337,Private Sector
"September, 2015",120264,103.8746567,Private Sector
"October, 2015",120568,104.1372281,Private Sector
"November, 2015",120847,104.3782066,Private Sector
"December, 2015",121106,104.6019106,Private Sector
"January, 2016",121261,104.7357875,Private Sector
"February, 2016",121483,104.9275337,Private Sector
"March, 2016",121667,105.0864586,Private Sector
"April, 2016",121838,105.234155,Private Sector
"January, 2007",22095,99.44005431,Public Sector
"February, 2007",22131,99.60207476,Public Sector
"March, 2007",22149,99.68308499,Public Sector
"April, 2007",22175,99.80009976,Public Sector
"May, 2007",22193,99.88110999,Public Sector
"June, 2007",22207,99.94411794,Public Sector
"July, 2007",22171,99.78209749,Public Sector
"August, 2007",22226,100.0296287,Public Sector
"September, 2007",22279,100.2681589,Public Sector
"October, 2007",22297,100.3491691,Public Sector
"November, 2007",22334,100.5156901,Public Sector
"December, 2007",22376,100.704714,Public Sector
"January, 2008",22388,100.7587208,Public Sector
"February, 2008",22417,100.8892373,Public Sector
"March, 2008",22443,101.006252,Public Sector
"April, 2008",22450,101.037756,Public Sector
"May, 2008",22483,101.1862748,Public Sector
"June, 2008",22517,101.3392941,Public Sector
"July, 2008",22568,101.5688231,Public Sector
"August, 2008",22567,101.5643225,Public Sector
"September, 2008",22537,101.4293054,Public Sector
"October, 2008",22549,101.4833123,Public Sector
"November, 2008",22560,101.5328185,Public Sector
"December, 2008",22556,101.5148162,Public Sector
"January, 2009",22579,101.6183293,Public Sector
"February, 2009",22576,101.6048276,Public Sector
"March, 2009",22560,101.5328185,Public Sector
"April, 2009",22677,102.059385,Public Sector
"May, 2009",22617,101.7893509,Public Sector
"June, 2009",22576,101.6048276,Public Sector
"July, 2009",22521,101.3572964,Public Sector
"August, 2009",22537,101.4293054,Public Sector
"September, 2009",22451,101.0422566,Public Sector
"October, 2009",22524,101.3707981,Public Sector
"November, 2009",22533,101.4113032,Public Sector
"December, 2009",22482,101.1817742,Public Sector
"January, 2010",22491,101.2222793,Public Sector
"February, 2010",22476,101.1547708,Public Sector
"March, 2010",22518,101.3437947,Public Sector
"April, 2010",22569,101.5733236,Public Sector
"May, 2010",22996,103.4950663,Public Sector
"June, 2010",22740,102.3429208,Public Sector
"July, 2010",22569,101.5733236,Public Sector
"August, 2010",22420,100.902739,Public Sector
"September, 2010",22247,100.1241407,Public Sector
"October, 2010",22297,100.3491691,Public Sector
"November, 2010",22287,100.3041634,Public Sector
"December, 2010",22266,100.2096515,Public Sector
"January, 2011",22258,100.1736469,Public Sector
"February, 2011",22215,99.98012249,Public Sector
"March, 2011",22192,99.87660942,Public Sector
"April, 2011",22184,99.84060488,Public Sector
"May, 2011",22129,99.59307363,Public Sector
"June, 2011",22164,99.75059351,Public Sector
"July, 2011",22049,99.23302817,Public Sector
"August, 2011",22017,99.08900999,Public Sector
"September, 2011",21983,98.93599067,Public Sector
"October, 2011",21998,99.00349919,Public Sector
"November, 2011",21971,98.88198385,Public Sector
"December, 2011",21954,98.80547419,Public Sector
"January, 2012",21945,98.76496908,Public Sector
"February, 2012",21941,98.7469668,Public Sector
"March, 2012",21943,98.75596794,Public Sector
"April, 2012",21928,98.68845942,Public Sector
"May, 2012",21913,98.6209509,Public Sector
"June, 2012",21928,98.68845942,Public Sector
"July, 2012",21911,98.61194976,Public Sector
"August, 2012",21927,98.68395885,Public Sector
"September, 2012",21928,98.68845942,Public Sector
"October, 2012",21896,98.54444124,Public Sector
"November, 2012",21874,98.44542874,Public Sector
"December, 2012",21884,98.49043442,Public Sector
"January, 2013",21871,98.43192703,Public Sector
"February, 2013",21885,98.49493499,Public Sector
"March, 2013",21870,98.42742646,Public Sector
"April, 2013",21869,98.42292589,Public Sector
"May, 2013",21862,98.39142192,Public Sector
"June, 2013",21835,98.26990658,Public Sector
"July, 2013",21813,98.17089408,Public Sector
"August, 2013",21840,98.29240942,Public Sector
"September, 2013",21846,98.31941283,Public Sector
"October, 2013",21832,98.25640487,Public Sector
"November, 2013",21843,98.30591112,Public Sector
"December, 2013",21817,98.18889635,Public Sector
"January, 2014",21807,98.14389067,Public Sector
"February, 2014",21817,98.18889635,Public Sector
"March, 2014",21828,98.2384026,Public Sector
"April, 2014",21856,98.36441851,Public Sector
"May, 2014",21854,98.35541737,Public Sector
"June, 2014",21893,98.53093953,Public Sector
"July, 2014",21881,98.47693271,Public Sector
"August, 2014",21868,98.41842533,Public Sector
"September, 2014",21917,98.63895317,Public Sector
"October, 2014",21927,98.68395885,Public Sector
"November, 2014",21934,98.71546283,Public Sector
"December, 2014",21947,98.77397021,Public Sector
"January, 2015",21954,98.80547419,Public Sector
"February, 2015",21967,98.86398158,Public Sector
"March, 2015",21961,98.83697817,Public Sector
"April, 2015",21971,98.88198385,Public Sector
"May, 2015",21988,98.95849351,Public Sector
"June, 2015",21990,98.96749465,Public Sector
"July, 2015",22022,99.11151283,Public Sector
"August, 2015",22049,99.23302817,Public Sector
"September, 2015",22036,99.17452078,Public Sector
"October, 2015",22027,99.13401567,Public Sector
"November, 2015",22028,99.13851624,Public Sector
"December, 2015",22040,99.19252306,Public Sector
"January, 2016",22053,99.25103044,Public Sector
"February, 2016",22064,99.30053669,Public Sector
"March, 2016",22088,99.40855033,Public Sector
"April, 2016",22077,99.35904408,Public Sector
